sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
7741,HOYA,東証一部,精密機器,2019-09-05,409,120,9089,9120,8661,1316400,8649,7054,721345.000000000000,9089,0.22611284377658066345,0.0508729332870852,1.8249242734059292,8524,9909,9314,10815,11065,8524,-0.06216305,0.09021895,0.02475520,0.18989988,0.21740566,-0.06216305,neutral,advanced_but_not_enough_for_long_trend
7741,HOYA,東証一部,精密機器,2020-10-28,685,120,12795,12885,12320,1774800,12395,9526,813580.000000000000,12795,0.30117572958219609490,0.03227107704719645018,2.1814695543154945,14140,13235,12945,17000,19380,11800,0.10511919,0.03438843,0.01172333,0.32864400,0.51465416,-0.07776475,neutral,advanced_but_not_enough_for_long_trend
7747,朝日インテック,東証二部,精密機器,2018-09-13,174,120,4690,4695,4500,1192300,4490,3735,537450.000000000000,4690,0.20214190093708165997,0.0445434298440980,2.2184389245511210,5000,5130,5060,2504,6160,4490,0.06609808,0.09381663,0.07889126,-0.46609808,0.31343284,-0.04264392,neutral,advanced_but_not_enough_for_long_trend
7749,メディキット,JQS,精密機器,2019-08-13,357,120,6320,6380,6200,4400,6130,5310,1915.0000000000000000,6320,0.15442561205273069680,0.0309951060358891,2.2976501305483029,6890,7240,7600,3430,8180,6340,0.09018987,0.14556962,0.20253165,-0.45727848,0.29430380,0.00316456,neutral,advanced_but_not_enough_for_long_trend
7780,メニコン,東証一部,精密機器,2019-11-19,457,120,4420,4430,4255,308500,4185,3520,149590.000000000000,4420,0.18892045454545454545,0.0561529271206691,2.0623036299217862,4405,5130,4900,7500,7770,4315,-0.00339367,0.16063348,0.10859729,0.69683258,0.75791855,-0.02375566,neutral,advanced_but_not_enough_for_long_trend
7805,プリントネット,JQS,その他製品,2020-09-14,461,120,489,517,461,61000,467,351,5160.0000000000000000,489,0.33048433048433048433,0.0471092077087794,11.8217054263565891,503,522,538,748,1009,475,0.02862986,0.06748466,0.10020450,0.52965235,1.06339468,-0.02862986,neutral,advanced_but_not_enough_for_long_trend
7823,アートネイチャー,東証一部,その他製品,2019-07-05,367,120,680,680,654,58800,659,603,34515.000000000000,680,0.09286898839137645108,0.0318664643399090,1.7036071273359409,622,682,813,600,861,615,-0.08529412,0.00294118,0.19558824,-0.11764706,0.26617647,-0.09558824,neutral,advanced_but_not_enough_for_long_trend
7832,バンダイナムコホールディングス,東証一部,その他製品,2019-03-22,298,120,5160,5210,4985,938500,5040,3895,621575.000000000000,5160,0.29396662387676508344,0.0238095238095238,1.5098741101234767,5060,5220,6380,4917,7040,4905,-0.01937984,0.01162791,0.23643411,-0.04709302,0.36434109,-0.04941860,neutral,advanced_but_not_enough_for_long_trend
7836,アビックス,JQS,その他製品,2020-06-05,588,120,130,134,126,433700,127,96,172300.000000000000,130,0.32291666666666666667,0.0236220472440945,2.5171213000580383,130,152,132,117,182,118,0.00000000,0.16923077,0.01538462,-0.10000000,0.40000000,-0.09230769,neutral,advanced_but_not_enough_for_long_trend
7867,タカラトミー,東証一部,その他製品,2020-10-06,669,120,981,984,956,912000,951,783,611205.000000000000,981,0.21455938697318007663,0.0315457413249211,1.4921343902618598,923,899,1005,1135,1205,884,-0.05912334,-0.08358818,0.02446483,0.15698267,0.22833843,-0.09887870,neutral,advanced_but_not_enough_for_long_trend
7868,廣済堂,東証一部,その他製品,2019-11-19,457,120,769,774,736,259100,743,630,146955.000000000000,769,0.17936507936507936508,0.0349932705248991,1.7631247660848559,817,907,790,666,1059,781,0.06241873,0.17945384,0.02730819,-0.13394018,0.37711313,0.01560468,neutral,advanced_but_not_enough_for_long_trend
7899,MICS化学,JQS,化学,2019-10-29,440,120,342,342,335,10100,334,295,5250.0000000000000000,342,0.13220338983050847458,0.0239520958083832,1.9238095238095238,324,326,393,309,498,312,-0.05263158,-0.04678363,0.14912281,-0.09649123,0.45614035,-0.08771930,neutral,advanced_but_not_enough_for_long_trend
