sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
2325,NJS,東証PR,サービス,2026-04-15,4700,19500,47226
2326,デジタルアーツ,東証PR,情報通信,2026-04-15,5550,85500,78438
2327,日鉄ソリューションズ,東証PR,情報通信,2026-04-15,3865,217400,707303
2329,東北新社,東証ST,情報通信,2026-04-15,605,61600,84825
2330,フォーサイド,東証ST,情報通信,2026-04-15,112,89600,4893
2331,ALSOK,東証PR,サービス,2026-04-15,1223,898000,623975
2332,クエスト,東証ST,情報通信,2026-04-15,1839,102000,10092
2334,イオレ,東証GR,サービス,2026-04-15,385,1708800,15792
2335,キューブシステム,東証PR,情報通信,2026-04-15,1045,15900,16459
2337,いちご,東証PR,不動産,2026-04-15,493,1978400,205085
2338,クオンタムソリューションズ,東証ST,情報通信,2026-04-15,122,1230700,6008
2340,極楽湯ホールディングス,東証ST,サービス,2026-04-15,486,14300,15360
2341,アルバイトタイムス,東証ST,サービス,2026-04-15,204,103900,5597
2342,トランスジェニックグループ,東証ST,サービス,2026-04-15,264,82000,4488
2344,平安レイサービス,東証ST,サービス,2026-04-15,1488,4900,18313
2345,HODL_1,東証ST,情報通信,2026-04-15,250,86200,4652
2349,エヌアイデイ,東証ST,情報通信,2026-04-15,2333,200,30584
2351,ASJ,東証ST,情報通信,2026-04-15,387,29600,3077
2353,日本駐車場開発,東証PR,不動産,2026-04-15,278,1267500,96855
2354,YE_DIGITAL,東証ST,情報通信,2026-04-15,885,178800,16219
2359,コア,東証PR,情報通信,2026-04-15,2243,17300,33274
2370,メディネット,東証GR,サービス,2026-04-15,29,2915900,7990
2371,カカクコム,東証PR,サービス,2026-04-15,2162.5,1630300,428647
2373,ケア21,東証ST,サービス,2026-04-15,438,7100,6502
2375,ギグワークス,東証ST,サービス,2026-04-15,214,24300,4735
2376,サイネックス,東証ST,サービス,2026-04-15,647,5400,4187
2378,ルネサンス,東証PR,サービス,2026-04-15,1029,48700,21999
2379,ディップ,東証PR,サービス,2026-04-15,1849,2132800,111199
2384,SBSホールディングス,東証PR,陸運,2026-04-15,4260,41600,169200
2385,総医研ホールディングス,東証GR,サービス,2026-04-15,250,15700,6540
2388,ウェッジホールディングス,東証GR,その他金融,2026-04-15,61,20200,2592
2391,プラネット,東証ST,サービス,2026-04-15,1248,3300,8278
2393,日本ケアサプライ,東証ST,サービス,2026-04-15,2363,5300,38370
2395,新日本科学,東証PR,サービス,2026-04-15,1544,131300,64280
2404,鉄人化ホールディングス,東証ST,サービス,2026-04-15,527,11600,7282
2408,KG情報,東証ST,サービス,2026-04-15,753,6100,5571
2410,キャリアデザインセンター,東証PR,サービス,2026-04-15,2438,12400,13404
2411,ゲンダイエージェンシー,東証ST,情報通信,2026-04-15,478,40500,5879
2413,エムスリー,東証PR,サービス,2026-04-15,1586.5,4539600,1077424
2415,ヒューマンホールディングス,東証ST,サービス,2026-04-15,1694,2300,17580
2418,ツカダ・グローバルホールディング,東証ST,サービス,2026-04-15,651,85300,31873
241A,ROXX,東証GR,情報通信,2026-04-15,524,22100,3816
2424,ブラス,東証ST,サービス,2026-04-15,605,600,3454
2425,ケアサービス,東証ST,サービス,2026-04-15,748,3300,3142
2428,ウェルネット,東証ST,サービス,2026-04-15,657,17900,12746
2429,ワールドホールディングス,東証PR,サービス,2026-04-15,2635,40500,47463
2432,ディー・エヌ・エー,東証PR,情報通信,2026-04-15,2633.5,1013500,321670
2433,博報堂DYホールディングス,東証PR,サービス,2026-04-15,1086,924400,395198
2435,シダー,東証ST,サービス,2026-04-15,219,15800,2513
2436,共同ピーアール,東証ST,サービス,2026-04-15,995,3400,8771
2437,Shinwa_Wise_Holdings,東証ST,サービス,2026-04-15,701,115900,7723
2438,アスカネット,東証GR,サービス,2026-04-15,366,34500,6392
2440,ぐるなび,東証ST,サービス,2026-04-15,153,69800,8706
2445,タカミヤ,東証ST,サービス,2026-04-15,404,64400,18821
2449,プラップジャパン,東証ST,サービス,2026-04-15,1083,3700,5067
244A,グロースエクスパートナーズ,東証GR,情報通信,2026-04-15,1174,29500,3966
2454,オールアバウト,東証ST,サービス,2026-04-15,362,4600,5149
2459,アウンコンサルティング,東証ST,サービス,2026-04-15,206,21300,1546
245A,INGS,東証GR,小売,2026-04-15,2465,3800,6215
2461,ファンコミュニケーションズ,東証PR,サービス,2026-04-15,458,56100,30370
2462,ライク,東証PR,サービス,2026-04-15,1634,71400,33439
2464,Aoba-BBT,東証ST,サービス,2026-04-15,340,8200,4850
2469,ヒビノ,東証ST,サービス,2026-04-15,3660,30200,37572
246A,アスア,東証GR,サービス,2026-04-15,994,1800,2676
2471,エスプール,東証PR,サービス,2026-04-15,257,1341500,20305
2475,WDBホールディングス,東証PR,サービス,2026-04-15,1523,13400,30551
2477,手間いらず,東証ST,情報通信,2026-04-15,2626,6300,17019
2479,ジェイテック,東証ST,サービス,2026-04-15,238,36800,2040
247A,Aiロボティクス,東証GR,化学,2026-04-15,1118,1157900,72558
2480,システム・ロケーション,東証ST,情報通信,2026-04-15,1700,800,6069
2481,タウンニュース社,東証ST,サービス,2026-04-15,688,100,3836
2483,翻訳センター,東証ST,サービス,2026-04-15,1790,2500,6031
2484,出前館,東証ST,情報通信,2026-04-15,125,984400,14048
2485,ティア,東証ST,サービス,2026-04-15,510,11500,11480
2488,JTP,東証ST,サービス,2026-04-15,1213,12200,7297
2489,アドウェイズ,東証ST,サービス,2026-04-15,285,61900,11972
248A,キッズスター,東証GR,情報通信,2026-04-15,1013,1400,2655
2491,バリューコマース,東証PR,サービス,2026-04-15,467,205600,16098
2492,インフォマート,東証PR,サービス,2026-04-15,448,1049800,119844
2493,イーサポートリンク,東証ST,サービス,2026-04-15,1020,10200,4513
2497,ユナイテッド,東証GR,サービス,2026-04-15,513,34000,20732
2498,オリエンタルコンサルタンツホールディングス,東証ST,サービス,2026-04-15,3080,2800,38068
2499,日本和装ホールディングス,東証ST,サービス,2026-04-15,318,7300,2905
2501,サッポロホールディングス,東証PR,食料品,2026-04-15,1894,954900,746182
2502,アサヒグループホールディングス,東証PR,食料品,2026-04-15,1646,5908000,2503583
2503,キリンホールディングス,東証PR,食料品,2026-04-15,2610,3444800,2129760
250A,シマダヤ,東証ST,食料品,2026-04-15,1760,21800,26762
2531,宝ホールディングス,東証PR,食料品,2026-04-15,1787.5,785300,352588
2533,オエノンホールディングス,東証PR,食料品,2026-04-15,435,51700,28530
253A,ETSグループ,東証ST,建設,2026-04-15,1232,83100,7846
2540,養命酒製造,東証PR,食料品,2026-04-15,4020,18100,66330
254A,AIフュージョンキャピタルグループ,東証ST,証券・先物,2026-04-15,1049,17800,10178
255A,ジーエルテクノホールディングス,東証ST,精密機器,2026-04-15,4075,129300,55751
256A,飛島ホールディングス,東証PR,建設,2026-04-15,2049,184000,39394
2573,北海道コカ・コーラボトリング,東証ST,食料品,2026-04-15,4315,1900,58719
2579,コカ・コーラボトラーズジャパンホールディングス,東証PR,食料品,2026-04-15,3564,444400,610401
2585,ライフドリンクカンパニー,東証PR,食料品,2026-04-15,1490,1230900,77970
2586,フルッタフルッタ,東証GR,食料品,2026-04-15,111,1112900,11429
